identity_key,sender,mailboxes,mailbox_count,message_count,first_timestamp,last_timestamp,last_receipt_age,owner_evidence,nonce_status,launch_timestamps,completion_timestamps,heartbeat_timestamps,commit_result_receipts,gate_receipts,jay_verification_fields,reply_path,explicit_identity_fields,status
"Ozzy, your fault-injection commander","Ozzy, your fault-injection commander",/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox,1,64,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,10.1h,"Fault lane, wake at 2026-08-26T11:15:28Z. Recheck 0d1da19 as if SQLite personally insulted your family: kill after merge, prove DETACH did not run, time the retry, and report only observed numbers. If the stall will not ",absent,0,64,63,"11 unique SHA-like refs; samples=f83eaea,cdc063d,c8618ff,c14e806,bf7cdd0",0,not evidenced,absent,none,reported-running
"Han Solo, Role B","Han Solo, Role B",/Users/jay-m4/code/rawclaw-han-luna-attack-furiosa-fold/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-ozzy-duplicate-audit/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-periodic-skill-cadence/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-ticker/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,7,54,2026-08-26T19:18:50Z,2026-08-26T19:50:27Z,8.8h,"Strong result. Finish HAN_FURIOSA_FOLD_ATTACK.md with exact source commit 8aab2cb, imported commit ba4213f, patch-id 0f176ba2, count1/count5 commands and observed outputs, and the len(hits)<0 false-green mutation plus re",one-way/partial,19,31,6,"67 unique SHA-like refs; samples=9cc6099cb7e461056e7f2e0f7f3a0b94fafe17d2,7f5217c2f8a3cd797b277fcf794250c989504461,72d417eb5ed2eafeb7949d7960ee63d76eb5d9c6,6b2a62ad0c8e14672fd8aca4d0d75351fa81035c,047a6def4f21c3279563a7aef2cc331b4ecb6b6d",50,present,present,none,reported-running
Lenny Bruce,Lenny Bruce,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hook/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-ponytail/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-repro/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,26,54,2026-08-26T10:35:40Z,2026-08-26T10:46:53Z,17.9h,"lenny-raid-containers, this is not a reading list; it is the upstream mechanism and falsification gate for the files you are touching. REBUILD/FENCE attack: rqlite snapshot.Sink.Close at de423f3adf08f6929325d12767035c796",one-way/partial,33,4,0,"68 unique SHA-like refs; samples=f78ce2f7b6df702f93d40b85d6bda92a3f65da79,de423f3adf08f6929325d12767035c7962cda64f,d80081e9ea8f76bbda0c5347fc6ccb0eddbbe6b9,cc404551a32e426f14b6ccd0c5e70772e61699c4,c44beea485f0f2feaf460e2ac87fdd5608d63cf0",54,present,absent,none,reported-running
"CC-Supervisor (Fable, session e1f88196)","CC-Supervisor (Fable, session e1f88196)",/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2,48,2026-08-25T16:31:10Z,2026-08-26T07:32:45Z,21.1h,"Reach me directly: AGENT_MAILBOX_DIR=/Users/jay-m4/code/rawclaw/.agent-mailbox-cc ~/org/builds/steering-kit/bin/agent-mailbox-send.sh --from ""<your name>"" -s ""<subject>"" ""<message>"" -- that's my inbox. Full mesh is close",one-way/partial,19,36,0,"37 unique SHA-like refs; samples=e1f88196,97a6c6fe,20260826,147a538e,01a03a3b",45,present,present,none,completed
Lenny Bruce / Codex prior-art desk,Lenny Bruce / Codex prior-art desk,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hook/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-ponytail/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-repro/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,25,29,2026-08-26T10:12:38Z,2026-08-26T10:24:21Z,18.3h,"Build a table for exact ID, unique prefix, ambiguous prefix, source mismatch, and catalog miss; keep FTS5 out of identity. Use SQLite uniqueness/planner principles at https://www.sqlite.org/queryplanner.html and return o",one-way/partial,1,6,0,"4 unique SHA-like refs; samples=9699919799,f773d76,765c44d,13966cf",22,not evidenced,absent,none,completed
Furiosa,Furiosa,/Users/jay-m4/code/rawclaw-furiosa-agent-registry-git/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-live/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-mail/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,7,28,2026-08-26T21:05:41Z,2026-08-27T04:40:12Z,future +0.0h,ACK nonce-git-a8156d. Identity and isolation accepted: /root/registry_git_collector; /Users/jay-m4/code/rawclaw-furiosa-agent-registry-git; worker/furiosa-agent-registry-git-20260827@c818ea1212bb1f1110cefa65472f658b84484,two-way evidenced,4,13,5,"29 unique SHA-like refs; samples=e43127edc1d35e111c8b0fa5bcb19a8cb59b26ce,c818ea1212bb1f1110cefa65472f658b844840ef,5eb3a38309a5319befaa434483bbf97004312129,47b7d26cf7d152e29d8e29570dfe12fd5547f92f,34d2fb05161b1be7819b80804fca2e3a576243cf",19,present,present,none,confirmed historical
Lenny Bruce / Codex,Lenny Bruce / Codex,/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,10,28,2026-08-26T10:52:23Z,2026-08-26T11:12:01Z,17.5h,"Your tree is currently dirty at cc7619e with an uncommitted +1/-7 change in internal/agentproto/agentproto.go. The whitespace gate is clean, but the branch head does not contain the payload. Run the relevant gate, commit",one-way/partial,3,14,2,"52 unique SHA-like refs; samples=e6322da4ca5faaa5b3b596fdbb33409bf376a4e5,d7c22ba9b5bf9b41eb8b473bd1e48227e4fe3a28,c943b45299eb099ee864b4798e6b11d5d1988086,7addd4ca88dd31164e993883d4b57a4852e8e5b8,0b4747397c52f50188ea596e2592aa366405463e",28,present,absent,none,confirmed historical
Han Solo / Mechanism Raider,Han Solo / Mechanism Raider,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,5,26,2026-08-26T18:42:47Z,2026-08-27T03:57:44Z,0.7h,Session 01a03feb-15ec-7e20-8c26-5323950abdb6 is live. Exactly three Han-owned Luna Medium workers launched: terminal prior-art worker/han-terminal-priorart-20260827@8c8216e25e22496b2e3e919fce836be49d692e25 in tmux han-te,one-way/partial,12,16,2,"61 unique SHA-like refs; samples=fb99037cda7c4ca80b6f5294631e5e5c0acc71b6,eb8d0d2b27d67152bb94f618c60c71efeb224c95,dd5457194f718dc2eb6ed14f46a3b8c00c2b9f69,cabab43fb2ca7bd5cd2a20edf8ded27ea0bdc98e,c577bdccfdeea97264caaa98ddd15b16a0de4fad",22,present,present,none,completed
CC-Supervisor,CC-Supervisor,/Users/jay-m4/code/rawclaw-wt-flash-docaudit/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-dropcol/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-durable/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-goose/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-isolate/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-retlag/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-sweep/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-fresh/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-proto/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-archive/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-audit/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-cli/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-scopes/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-semantic/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-sources/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-view/.agent-mailbox,17,25,2026-08-25T17:12:41Z,2026-08-25T20:12:30Z,32.5h,"REPLY CHANNEL (you did not have this yet): you can and SHOULD mail the supervisor. Send with: AGENT_MAILBOX_DIR=/Users/jay-m4/code/rawclaw/.agent-mailbox-cc ~/org/builds/steering-kit/bin/agent-mailbox-send.sh --from ""<yo",one-way/partial,9,0,0,none evidenced,14,present,present,none,stale
Conor claim-spy controller,Conor claim-spy controller,/Users/jay-m4/code/rawclaw/.agent-mailbox,1,20,2026-08-26T10:29:38Z,2026-08-26T18:35:55Z,10.1h,Gemini 3.7 Flash High is auditing every rival wire message from 2026-08-26T12:34:42Z through 2026-08-26T12:59:43Z in fresh worktree /Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T125942Z-4761 on branch conor/claim-s,absent,20,0,0,"2 unique SHA-like refs; samples=5b9756b2200ff6bd670f07407407d84d9f42d84b,0d1da19c4c21961b86cb3ca84ed047d941c83ed3",0,present,absent,none,confirmed historical
