canonical_id,identity_persona,status,model_reasoning,session_id,tmux_pid,worktree,branch_at_head,upstream_state,mailbox,first_seen_utc,last_seen_utc,nonce_status,result_state,gate_state,mutation_state,patch_identity,current_base_relevance,evidence_sources,confidence,cleanup_authority,open_gaps
mailbox-011,"Ozzy, your fault-injection commander",reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-norm-fault/.agent-mailbox,2026-08-26T08:09:56Z,2026-08-26T18:36:58Z,absent,reported-running,not evidenced,reported-count=63,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-012,"Han Solo, Role B",reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-han-luna-attack-furiosa-fold/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-overlay-publisher-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-ozzy-duplicate-audit/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-periodic-skill-cadence/.agent-mailbox;/Users/jay-m4/code/rawclaw-han-luna-ticker/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox,2026-08-26T19:18:50Z,2026-08-26T19:50:27Z,one-way/partial,reported-running,reported-count=50,reported-count=6,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-013,Lenny Bruce,reported-running,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hook/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-ponytail/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-repro/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T10:35:40Z,2026-08-26T10:46:53Z,one-way/partial,reported-running,reported-count=54,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,medium,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-014,"CC-Supervisor (Fable, session e1f88196)",completed,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-25T16:31:10Z,2026-08-26T07:32:45Z,one-way/partial,completed-reported,reported-count=45,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-015,Lenny Bruce / Codex prior-art desk,completed,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-lenny-raid-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-locate/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-phase/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-raid-prewarm/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-architecture/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-interfaces/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-modernize/.agent-mailbox;/Users/jay-m4/code/rawclaw-lenny-skill-style/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hidden/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-hook/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-integration/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-ponytail/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-repro/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T10:12:38Z,2026-08-26T10:24:21Z,one-way/partial,completed-reported,reported-count=22,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-016,Furiosa,confirmed historical,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-furiosa-agent-registry-git/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-live/.agent-mailbox;/Users/jay-m4/code/rawclaw-furiosa-agent-registry-mail/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T21:05:41Z,2026-08-27T04:40:12Z,two-way evidenced,historical,reported-count=19,reported-count=5,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-017,Lenny Bruce / Codex,confirmed historical,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-luna-conor-32a/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-containers/.agent-mailbox;/Users/jay-m4/code/rawclaw-luna-conor-pr35-resolve/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-catalog/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-hooks/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-ingest/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-cleanup/.agent-mailbox;/Users/jay-m4/code/rawclaw-ozzy-flash-prune/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T10:52:23Z,2026-08-26T11:12:01Z,one-way/partial,historical,reported-count=28,reported-count=2,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-018,Han Solo / Mechanism Raider,completed,UNCERTAIN,01a03feb-15ec-7e20-8c26-5323950abdb6,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-ozzy-pressure-20260827/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-furiosa-a/.agent-mailbox;/Users/jay-m4/code/rawclaw-supervisor-han-b/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-instant-closeout-spec/.agent-mailbox;/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T18:42:47Z,2026-08-27T03:57:44Z,one-way/partial,completed-reported,reported-count=22,reported-count=2,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-019,CC-Supervisor,stale,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-wt-flash-docaudit/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-dropcol/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-durable/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-goose/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-isolate/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-retlag/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-flash-sweep/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-fresh/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-luna-proto/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-archive/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-audit/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-cli/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-scopes/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-semantic/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-sources/.agent-mailbox;/Users/jay-m4/code/rawclaw-wt-rf-view/.agent-mailbox,2026-08-25T17:12:41Z,2026-08-25T20:12:30Z,one-way/partial,stale,reported-count=14,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,low,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-020,Conor claim-spy controller,confirmed historical,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T10:29:38Z,2026-08-26T18:35:55Z,absent,historical,not evidenced,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-021,Norm / Codex supervisor,completed,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw-norm-conor-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-flash-fence/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-lenny-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-ozzy-spy/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-conor-20260826T111536Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-lenny-20260826T103109Z/.agent-mailbox;/Users/jay-m4/code/rawclaw-norm-spy-ozzy-20260826T105130Z/.agent-mailbox,2026-08-26T10:23:45Z,2026-08-26T11:17:07Z,one-way/partial,completed-reported,reported-count=13,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
mailbox-022,Conor claim-spy watchdog,completed,UNCERTAIN,,"","","",UNCERTAIN,/Users/jay-m4/code/rawclaw/.agent-mailbox,2026-08-26T10:35:59Z,2026-08-26T18:34:57Z,absent,completed-reported,reported-count=9,not evidenced,reported SHA-like refs,UNCERTAIN,mailbox snapshot 2cfd07e3b27d0f0ff041e9f82db1c16ad2fc9a58,high,UNCERTAIN,No exact live process/CWD/branch join in accepted live snapshot; identity remains distinct from aliases and Git artifacts.
