kind,absolute_worktree,branch,head,upstream,ahead_behind,dirty_state,last_author,last_time,last_subject,persona_inference,mailbox_presence,result_report_files,merge_base_to_current_base,current_base_relevance
detached-worktree,/private/tmp/rawclaw-t40-d231-check,(detached),ef2eebf414e77086be06281539c5a50ba036a32a,UNCERTAIN,UNCERTAIN,dirty,MoonCaves,2026-08-27T06:02:15+08:00,research: add tick17 prior art delta,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-t52-0cd.EV38g8,(detached),0cd0b9ce77e362b5bd4e973f948eb9981cdbf452,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T12:11:07+08:00,fix(index): bound consolidated writer cancellation,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;INTEGRATION_RECOVERY_T52.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-t52-pr40-audit.6V8HFL,(detached),bc1682071e3c9bb734c2783ee121f43002d814d0,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-26T20:06:20+08:00,refactor(store): share connection benchmark matrix,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-tick54-bs1G,(detached),aab285d894b4b9ab3abeb9eee96e72015d160177,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T11:44:27+08:00,chore: remove branch-local review artifact,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-tick54-d918,(detached),d91870634ff42b11165811111442acab26244d39,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:32:59+08:00,fix: unblock nil-scope consolidated tag-write,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;FINDINGS_DETACHED_PUBLICATION_RECEIPT.md;FURIOSA_EXTERNAL_NILSCOPE_REFEREE.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/rawclaw-tick54-pr40,(detached),48661f403f880e2c1dac7615f39bbb8264eeafe7,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T11:50:21+08:00,fix(cli): satisfy tag publisher lint checks,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
detached-worktree,/private/tmp/terminal-contract-check-20260827,(detached),1e61f732fc3f9234dd9b94a55407d7419fe71b47,UNCERTAIN,UNCERTAIN,clean,MoonCaves,2026-08-27T05:28:28+08:00,fix(cli): state detached publication is best effort,UNCERTAIN,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-claude-web,feat/claude-web-import,698852193ac2431620c76759e7c3f4e0fafa52c4,UNCERTAIN,540/10 vs base,clean,MoonCaves,2026-07-21T01:59:20+08:00,"chore(claude-web): review amendment — leak fix, dead code, dot-dir skip, doc caveat",feat,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,90dbbc9287fa92160c84664f6fface92df27375b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-codex-rescue-12h-20260827,review/codex-rescue-12h-20260827,c818ea1212bb1f1110cefa65472f658b844840ef,origin/main,1/0,clean,Remotely Human,2026-08-27T05:32:54+08:00,docs: correct tombstone pruning cost claims,review,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,86c5ce06b789e9e287154ba25acc699d04ff2c7b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-conor-ambiguity-contract,conor/fix-hook-fifo-claim,6d20bda91501aeb341c46181556137d273d77a38,origin/conor/fix-hook-fifo-claim,0/0,clean,MoonCaves,2026-08-26T18:33:48+08:00,fix(cli): reject existing catalog path before link claim,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-conor-bench-demolition,conor/raid-lenny-modularity,db981351666f2e6029563f603ecbb899baeda045,origin/conor/raid-lenny-modularity,0/0,clean,MoonCaves,2026-08-26T17:58:07+08:00,raid: pin exact rival line receipts,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;FINDINGS.md;README.md;ROADMAP.md,0d60b4c81a3fbdb29e63d3a55869214d2686cdeb,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T102938Z-4091,conor/claim-spy-20260826T102938Z-4091,9a55317a35bfa7db21809830c04981f132cef9c4,origin/conor/claim-spy-20260826T102938Z-4091,0/0,clean,MoonCaves,2026-08-26T18:35:45+08:00,docs: claim-spy audit findings for wire window 20260826T102938Z-4091,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T105439Z-447e,conor/claim-spy-20260826T105439Z-447e,35bc58f61adba1b215b664ebbdb04a664af9de54,origin/conor/claim-spy-20260826T105439Z-447e,0/0,clean,MoonCaves,2026-08-26T19:02:46+08:00,docs: claim-spy audit findings for wire window 20260826T105439Z-447e,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,5b9756b2200ff6bd670f07407407d84d9f42d84b,diverged
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T111940Z-0cb8,conor/claim-spy-20260826T111940Z-0cb8,853922e07fc4a02697f2bf78624abe5cdbd27a80,UNCERTAIN,0/2 vs base,clean,MoonCaves,2026-08-26T19:31:00+08:00,docs: correct claim spy hook receipt,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T114440Z-554e,conor/claim-spy-20260826T114440Z-554e,c2fc90ab5b5569b824d44d378373764c95435cd1,origin/conor/claim-spy-20260826T114440Z-554e,0/0,clean,MoonCaves,2026-08-26T19:51:12+08:00,docs(audit): claim-spy findings for wire window 11:19:40Z-11:44:41Z (64 messages),conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T120941Z-0bb2,conor/claim-spy-20260826T120941Z-0bb2,34e9c9e47918bab8fe6834b15549f58cff8716bc,origin/conor/claim-spy-20260826T120941Z-0bb2,0/0,clean,MoonCaves,2026-08-26T20:15:30+08:00,docs(spy): audit rival wire claims 20260826T114441Z to 20260826T120941Z,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T123442Z-5972,conor/claim-spy-20260826T123442Z-5972,5cbf9b642e33c959cc6ad5b5c33f2c952de9e995,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-26T20:39:13+08:00,docs(claim-spy): publish wave 4 wire verification findings for job 20260826T123442Z-5972,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T125942Z-4761,conor/claim-spy-20260826T125942Z-4761,2af5a9680622e106d16acca7517983f0aa713ccf,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-26T21:04:24+08:00,docs(claim-spy): publish wave 5 wire verification findings for job 20260826T125942Z-4761,conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T132443Z-3c8f,conor/claim-spy-20260826T132443Z-3c8f,e7093ff2ea5580799f72b6bded879fa5d9409f97,origin/conor/claim-spy-20260826T132443Z-3c8f,0/0,clean,MoonCaves,2026-08-26T21:30:02+08:00,"docs(spy): audit wave 6 wire claims, rival research dossiers, and desk hygiene",conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T134944Z-78f4,conor/claim-spy-20260826T134944Z-78f4,1b22703d90a02412071b6571fd4ab10e36b0573a,UNCERTAIN,0/1 vs base,clean,MoonCaves,2026-08-26T21:57:10+08:00,"docs(spy): audit wave 7 wire claims, rival research dossiers, and desk hygiene",conor,absent,AGENTS.md;CHANGELOG.md;CLAIM_SPY_FINDINGS.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T141445Z-42aa,conor/claim-spy-20260826T141445Z-42aa,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T144046Z-64af,conor/claim-spy-20260826T144046Z-64af,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T150747Z-5b83,conor/claim-spy-20260826T150747Z-5b83,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T153348Z-175b,conor/claim-spy-20260826T153348Z-175b,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T155949Z-593e,conor/claim-spy-20260826T155949Z-593e,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T162550Z-627d,conor/claim-spy-20260826T162550Z-627d,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T165151Z-3730,conor/claim-spy-20260826T165151Z-3730,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T171752Z-382a,conor/claim-spy-20260826T171752Z-382a,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
attached-worktree,/Users/jay-m4/code/rawclaw-conor-claim-spy-20260826T174353Z-2f3b,conor/claim-spy-20260826T174353Z-2f3b,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,UNCERTAIN,0/0 vs base,clean,MoonCaves,2026-08-26T19:03:58+08:00,test(cli): reap detached ingest before catalog assertions,conor,absent,AGENTS.md;CHANGELOG.md;CONTRIBUTING.md;README.md;ROADMAP.md,0d1da19c4c21961b86cb3ca84ed047d941c83ed3,same-base
